Name,ID,Title,Collection,Original Collection,Total Stories,Total Folios,Total Pages,Century,Date Range Start,Date Range End,Date Note,Provenance,Link,Notes
AECE (HMML) 1,1,,AECE (HMML),,73,,,,,,,,,
AECE (HMML) l,l,,AECE (HMML),,2,,,,,,,,,
W-London (BM) 2,2,,W-London (BM),,68,,,,,,,,,
W-London (BM) 3,3,,W-London (BM),,8,,,,,,,,,
C-Berlin (BS) 1,1,,C-Berlin (BS),,1,,,,,,,,,
C-Berlin (BS) 10,10,,C-Berlin (BS),,1,,,,,,,,,
C-Berlin (BS) 11,11,,C-Berlin (BS),,4,,,,,,,,,
C-Berlin (BS) 12,12,,C-Berlin (BS),,1,,,,,,,,,
C-Berlin (BS) 13,13,,C-Berlin (BS),,1,,,,,,,,,
C-Berlin (BS) 14,14,,C-Berlin (BS),,1,,,,,,,,,
C-Berlin (BS) 15,15,,C-Berlin (BS),,1,,,,,,,,,
C-Berlin (BS) 16,16,,C-Berlin (BS),,1,,,,,,,,,
C-Berlin (BS) 17,17,,C-Berlin (BS),,1,,,,,,,,,
C-Berlin (BS) 18,18,,C-Berlin (BS),,1,,,,,,,,,
C-Berlin (BS) 19,19,,C-Berlin (BS),,1,,,,,,,,,
C-Berlin (BS) 2,2,,C-Berlin (BS),,1,,,,,,,,,
C-Berlin (BS) 20,20,,C-Berlin (BS),,1,,,,,,,,,
C-Berlin (BS) 21,21,,C-Berlin (BS),,1,,,,,,,,,
C-Berlin (BS) 22,22,,C-Berlin (BS),,1,,,,,,,,,
C-Berlin (BS) 23,23,,C-Berlin (BS),,1,,,,,,,,,
C-Berlin (BS) 24,24,,C-Berlin (BS),,1,,,,,,,,,
C-Berlin (BS) 25,25,,C-Berlin (BS),,1,,,,,,,,,
C-Berlin (BS) 26,26,,C-Berlin (BS),,1,,,,,,,,,
C-Berlin (BS) 27,27,,C-Berlin (BS),,1,,,,,,,,,
C-Berlin (BS) 28,28,,C-Berlin (BS),,1,,,,,,,,,
C-Berlin (BS) 29,29,,C-Berlin (BS),,1,,,,,,,,,
C-Berlin (BS) 3,3,,C-Berlin (BS),,1,,,,,,,,,
C-Berlin (BS) 30,30,,C-Berlin (BS),,1,,,,,,,,,
C-Berlin (BS) 31,31,,C-Berlin (BS),,1,,,,,,,,,
C-Berlin (BS) 32,32,,C-Berlin (BS),,1,,,,,,,,,
C-Berlin (BS) 33,33,,C-Berlin (BS),,2,,,,,,,,,
C-Berlin (BS) 34,34,,C-Berlin (BS),,1,,,,,,,,,
C-Berlin (BS) 35,35,,C-Berlin (BS),,1,,,,,,,,,
C-Berlin (BS) 36,36,,C-Berlin (BS),,1,,,,,,,,,
C-Berlin (BS) 37,37,,C-Berlin (BS),,1,,,,,,,,,
C-Berlin (BS) 38,38,,C-Berlin (BS),,1,,,,,,,,,
C-Berlin (BS) 39,39,,C-Berlin (BS),,1,,,,,,,,,
C-Berlin (BS) 4,4,,C-Berlin (BS),,1,,,,,,,,,
C-Berlin (BS) 40,40,,C-Berlin (BS),,1,,,,,,,,,
C-Berlin (BS) 41,41,,C-Berlin (BS),,1,,,,,,,,,
C-Berlin (BS) 42,42,,C-Berlin (BS),,1,,,,,,,,,
C-Berlin (BS) 43,43,,C-Berlin (BS),,1,,,,,,,,,
C-Berlin (BS) 44,44,,C-Berlin (BS),,1,,,,,,,,,
C-Berlin (BS) 45,45,,C-Berlin (BS),,1,,,,,,,,,
C-Berlin (BS) 46,46,,C-Berlin (BS),,1,,,,,,,,,
C-Berlin (BS) 47,47,,C-Berlin (BS),,1,,,,,,,,,
C-Berlin (BS) 48,48,,C-Berlin (BS),,2,,,,,,,,,
C-Berlin (BS) 49,49,,C-Berlin (BS),,1,,,,,,,,,
