Manuscript,Canonical Story ID,Canonical Story Title,Folio Start,Column Start,Line Start,Folio End,Column End,Line End,Miracle Number,Number of Paintings,Incipit,Macomber Incipit,Confidence Score,Notes
AECE (HMML) 1,7,"When the Holy Family encounters brigands during their return journey from Egypt, Christ repairs the broken sword of Tetos.",30r,,,30r,,,,,,FALSE,,
AECE (HMML) 1,13,"The election of Patriarch Matthew I ,",63r,,,63r,,,,,,FALSE,,
AECE (HMML) 1,13,"The election of Patriarch Matthew I ,",98r,,,98r,,,,,,FALSE,,
AECE (HMML) 1,14,The repentant knight who could pray only the Hail Mary.,40v,,,40v,,,,,,FALSE,,
AECE (HMML) 1,16,"A nun sacristan elopes with a priest, but afterwards they repent.",15r,,,15r,,,,,,FALSE,,
AECE (HMML) 1,19,The mighty Goliath threatens to destroy the monastery of Saint Mary.,9v,,,9v,,,,,,FALSE,,
AECE (HMML) 1,27,The events that occurred during the captivity of Abbots Samuˀel of Däbrä Qaləmon and John of Scete.,10v,,,10v,,,,,,FALSE,,
AECE (HMML) 1,33,The Muslims who stole the furnishings of a church of Saint Mary located near the western boundary of Ethiopia and were struck by lightning.,11b,,,11b,,,,,,FALSE,,
AECE (HMML) 1,33,The Muslims who stole the furnishings of a church of Saint Mary located near the western boundary of Ethiopia and were struck by lightning.,39a,,,39a,,,,,,FALSE,,
AECE (HMML) 1,43,A thief is hanged upside down with the objects he stole from the church of Saint Mary in Sebkahad.,16b,,,16b,,,,,,FALSE,,
AECE (HMML) 1,46,The priest Thomas sees Saint Mary inscribing the names of those who praise her on the fiery chariot of gold.,16a,,,16a,,,,,,FALSE,,
AECE (HMML) 1,48,"Tekta, who is childless, has a dream about ten generations ending with the moon and the sun.",17b,,,17b,,,,,፮ተአምሪሃ፡ ቅድስት፡ ማርያም፡ አምላክ፨ ወበረከታ፤ ምስለ፤ ክርስቶስ፡ ዓለም፡ ወሀሎ፡ መስተፅዕነ፡ ዘስሙ፡ ኃጥእ፡ ፍናዊሁ፡ ወባሕቱ፤ እግዚኣብሔር፤ እግዝእትነ፡ መርሐቶ፡ መድኃኒተ፡ ወነስሐ፡ ኃጢአቱ።,FALSE,Medium,
AECE (HMML) 1,54,A barren woman conceives and bears salda Masqal.,12b,,,12b,,,,,,FALSE,,
AECE (HMML) 1,54,A barren woman conceives and bears salda Masqal.,111b,,,111b,,,,,,FALSE,,
AECE (HMML) 1,57,"Eusebius, whom Saint Mary took to Heaven.",19b,,,19b,,,,,,FALSE,,
AECE (HMML) 1,59,The woman who was crossing a river on a raft [mezlal].,18b,,,18b,,,,,,FALSE,,
AECE (HMML) 1,61,The vision of Saint John in the Apocalypse.,20b,,,20b,,,,,,FALSE,,
AECE (HMML) 1,68,"When the Holy Family encounters brigands during their return journey from Egypt, Christ repairs the broken sword of Tetos.",21b,,,21b,,,,,,FALSE,,
AECE (HMML) 1,69,"When the Holy Family encounters brigands during their return journey from Egypt, Christ repairs the broken sword of Tetos.",118a,,,118a,,,,,,FALSE,,
AECE (HMML) 1,82,"When the Holy Family encounters brigands during their return journey from Egypt, Christ repairs the broken sword of Tetos.",22a,,,22a,,,,,,FALSE,,
AECE (HMML) 1,83,"When the Holy Family encounters brigands during their return journey from Egypt, Christ repairs the broken sword of Tetos.",22b,,,22b,,,,,,FALSE,,
AECE (HMML) 1,98,"When the Holy Family encounters brigands during their return journey from Egypt, Christ repairs the broken sword of Tetos.",73a,,,73a,,,,,,FALSE,,
AECE (HMML) 1,99,"When the Holy Family encounters brigands during their return journey from Egypt, Christ repairs the broken sword of Tetos.",24a,,,24a,,,,,,FALSE,,
AECE (HMML) 1,103,The arrival of the Holy Family in Sāmǝnon.,25a,,,25a,,,,,,FALSE,,
AECE (HMML) 1,106,The arrival of the Holy Family in Sāmǝnon.,83a,,,83a,,,,,,FALSE,,
AECE (HMML) 1,112,The arrival of the Holy Family in Sāmǝnon.,25b,,,25b,,,,,,FALSE,,
AECE (HMML) 1,113,The arrival of the Holy Family in Sāmǝnon.,76a,,,76a,,,,,,FALSE,,
AECE (HMML) 1,125,The story of the cannibal from Qemer.,32a,,,32a,,,,,,FALSE,,
AECE (HMML) 1,131,The faded icon of Saint Mary that the mother-in-law wanted to discard.,112b,,,112b,,,,,,FALSE,,
AECE (HMML) 1,131,The faded icon of Saint Mary that the mother-in-law wanted to discard.,112b,,,112b,,,,,,FALSE,,
AECE (HMML) 1,135,The sinful deacon who was healed by a drop of Saint Mary's milk.,79a,,,79a,,,,,,FALSE,,
AECE (HMML) 1,136,The brigand whom the king's soldiers could not kill.,79a,,,79a,,,,,,FALSE,,
AECE (HMML) 1,137,The Emperor of Rome who erected an altar in his palace.,113a,,,113a,,,,,,FALSE,,
AECE (HMML) 1,140,The sinful deacon whom his enemies could not kill until he had confessed himself to a priest.,28b,,,28b,,,,,,FALSE,,rsk test change
AECE (HMML) 1,142,"The deacon's prayer that contained five times ""Rejoice!"" [tafassehiyat].",29b,,,29b,,,,,,FALSE,,rsk testing testing
AECE (HMML) 1,147,The Jewish boy who received Holy Communion with his Christian companions.,58a,,,58a,,,,,,FALSE,,
AECE (HMML) 1,148,The pregnant woman who was caught by the tide while going to the church of Saint Michael (Mont Saint Michel),35b,,,35b,,,,,,FALSE,,
AECE (HMML) 1,152,The widow who prayed to Saint Mary and saved her only son from death by hanging.,34a,,,34a,,,,,,FALSE,,
AECE (HMML) 1,154,The two women who were attacked by robbers on their way to church.,14b,,,14b,,,,,,FALSE,,
