"['Macomber ID', 'Macomber Title', 'Origin', 'Poncelet Number', 'Incipit', 'Incipit Source', 'Hamburg ID', 'Other IDs', 'Other Titles']"
"['1-A', 'Vision of Theophilus of Alexandria.']"
"['1-B', 'Satan appears to King Herod and advises him to kill the Innocents.']"
"['1-C', 'The arrival of the Holy Family in Sāmǝnon.']"
"['2', 'The vision of Theophilus continued: Satan urges Herod to pursue the Holy Family.']"
"['3', 'The vision of Theophilus continued: The Holy Family returns from Egypt.']"
"['4', 'Deacon Michael, the grocer and the ring that was found in the fish.']"
"['5', 'The Frenchman whose wife was unable to have children.']"
"['6', 'During the famine of 1120 MM., the Arabs try to plunder the monasteries.']"
"['7', 'The monk of Dabra Qalǝmon who did not fast.']"
"['8', 'The monks of Dabra Qalǝmon who were despoiled by Berbers.']"
"['9', 'An Arab steals the scissors of the tailor of Dabra Qalǝmon.']"
"['10', 'Qommos Raphael from Dabra ʾƎnṣǝnā and the sacrament of confession.']"
"['11', 'An Arab who contemns Saint Mary’s icon at Dabra Qalǝmon is punished.']"
"['12', 'The composition of the Maṣḥafa ḥawi by Patriarch Gabriel Ibn Tarīk.']"
"['13', 'The composition of the Miracles of Mary by Bishop Hildephonsus of Toledo.']"
"['14', 'The composition of the Wǝddāse Maryam by the Syrian potter.']"
"['15', 'Amnut, the custodian of a church in Egypt, quarrels with his bishop.']"
"['16', 'Three Arabs who were journeying to the Rif.']"
"['17', 'Nǝkwāl, the deacon from Margawkim, who spent his master’s money on the poor.']"
"['18', 'The priest from Nārdin who was accused because he kept a nun in his house.']"
"['19', 'The monk, Yǝsḥaq, who prayed for seven years that Saint Mary would appear to him.']"
"['20', 'The Arab woman who suffered from an issue of blood for many years.']"
"['21', 'Yoḥannǝs finds a copy of the acts of Saints Juliana and Barbara that he had lost.']"
"['22', 'The lamp before the icon of Saint Mary that the priest tipped over.']"
"['23', 'The two blessed monks, Sadaqā and ʾƎstifānos, from the monastery of Saint Victor.']"
"['24', 'The Christians gathered for a feast of Saint Mary are saved from the Arabs.']"
"['25', 'ʾƎmma Yoḥannǝs and the Ethiopian monk who was on pilgrimage to Jerusalem.']"
"['26', 'The European who wanted to steal the bars of the door to the Manger at Bethlehem.']"
"['27', 'Māryām from Dǝfrā, a child who wanted to receive Communion but was shut up in the house when her family went to church.']"
"['28', 'The lamp of the Christian from Mǝneta Diyāqon that was blown out by the wind.']"
"['29', 'The wife of Joseph from Mǝneta Diyāqon, who had no male children.']"
"['30', 'The poor man from Aragon who was buried a1ive in a gold mine.']"
"['31', 'The cupbearer of the king of France.']"
"['32', 'The husband who denied Christ when he became poor.']"
"['33', 'The French artist who fell from the scaffolding while painting frescoes.']"
"['34', 'The devout Moslem who became a Christian when Saint Mary appeared to him.']"
"['35-A1', 'The apparitions of Saint Mary at Dabra Metmaq.']"
"['35-A2', 'The apparitions of Saint Mary at Dabra Metmaq.']"
"['35-B', 'At the consecration of Dabra Metmaq, Saint Mary appears.']"
"['35-C', 'The bishop, who was present at the apparition of Saint Mary, asks her to give her blessing.']"
"['35-D', 'People from other faiths come to see the annual apparition of Saint Mary.']"
"['35-E', 'The people toss their caps and kerchiefs into the air before the apparition of Saint Mary; occasionally she reaches out and takes one of them.']"
"['35-F', 'The people start to beat a serving girl, in order to take from her the kerchief that she had received back from Saint Mary after tossing it to her.']"
"['36', 'The untrustworthy camel driver of Dabra Metmaq.']"
"['37', 'Yeshaq, prior of Dabra Metmaq, who fled to Scete to escape the burden of his office.']"
"['38', 'The son of the Moslem ruler of Egypt blasphemes the icon of Saint Mary.']"
"['39', 'Eulogius, the stonemason of Scete, who used to give hospitality to strangers.']"
"['40', 'The miraculous spring of Mehzab.']"
"['41', 'The old woman from Sembat who gave the offering for Saint Mary to Saint George.']"
"['42', 'The church built on the tomb of Saint Mary that will turn into a ship.']"
"['43', 'The story of the blind priest, YoQannes Bakansi.']"
"['44', 'The priest, Rizqallah, recovers things stolen from pilgrims.']"
"['45', 'The story of the icon of Saint Mary of Dabra Sedeneya, attributed to Cyril of Jerusalem.']"
"['46', 'The church of Saint Mary that moved by itself to the shore of the Mediterranean Sea.']"
"['47', 'The conversion of a Moslem merchant who had been imprisoned in Naples.']"
"['48', 'The rich man from Colosse who was wounded in the eye while fighting the Qwez.']"
"['49', 'Saint Mary appears during Mass in the church at Meneta Sard.']"
"['50', 'Abba Samuel of Dabra Qalemon intercedes for an angel who had disobeyed the command of God.']"
"['51', 'Three virgins come to serve Saint Mary as she is about to give birth.']"
"['52', 'Bishop Michael sends Deacon John to help the monks of Dabra Metmaq celebrate Passion Week.']"
"['53', 'The cistern at Dabra Metmaq is filled miraculously.']"
"['54', 'Saint Mary carries a dying monk to Jerusalem.']"
"['55', 'Some of the deceased great Fathers of the Desert appear to the monks of Scete.']"
"['56', 'An abbot in Scete sees first a multitude of demons, then a multitude of saints.']"
"['57', 'The widow who could not find husbands for her three daughters.']"
"['58', 'The story of the martyr, Saint Victor, and his mother, Martha.']"
"['59', 'Elizabeth, the blind daughter of Abraham and Gera Anest of Baderman.']"
"['60', 'The Arab woman who entrusted her jewels to a Christian for safekeeping.']"
"['61', 'The two brothers who copied the Miracles of Mary.']"
"['62', 'The abbot who did not allow the Miracles of Mary to be read in his monastery.']"
"['63', 'A man killed during the construction of the church of Dabra Qwesqwam is raised from the dead.']"
"['64', 'The story of the sorcerers Taludar, who was possessed by a demon.']"
"['65', 'The vinedresser of Manfalut who gave his earnings to the builders of Dabra Qwesqwam.']"
"['66', 'Saint Mary appears as a winged maiden to John, a monk of Saint Macarius.']"
"['67', 'The infidel who stole the lumber from the church at Dabra QwesqWam.']"
"['68', 'Saint Mary appears to the martyr, Giyorgis Haddis, in prison.']"
"['69', 'Mareqos, King of Romeya, abandons his throne secretly to become a monk.']"
"['70', 'The people of Romeya appeal to Patriarch Dionysius to find King Mareqos.']"
"['71', 'When Sefengeya, wife of King Masfeyanos of Romeya, prays to have a child before the icon of Saint Mary, the icon inclines its head; Sefengeya then conceives Yeshaq (Abba Garima).']"
"['72', 'Entawos, a pagan from Qarays, becomes a Christian after being struck by miraculous arrows.']"
"['73', 'A man who speaks blasphemously of Saint Mary has his arms and legs cut off.']"
"['74', 'The wife of a pagan official who wished to pray at the Holy Sepulcher is prevented until she is baptized.']"
"['75', 'The son of Emperor Tiberius is raised from the dead.']"
"['76', 'John the Evangelist paints an icon of the Crucifixion for Emperor Tiberius.']"
"['77', 'Petros Bawares has a vision of the Trinity.']"
"['78', 'The conversion of the Moslem, Rewh, who is renamed Entons Haddis.']"
